strategy,month,trades,profit_abs,return_pct,profit_factor,ending_balance
E0V1E_v3,31/01/2025,64,829.62152863,10.370269107875,1.19796662,8829.62152863
E0V1E_v3,28/02/2025,84,-843.7391061,-9.555778844701107,0.88774262,7985.8824225299995
E0V1E_v3,31/03/2025,57,-43.71291274,-0.5473773645436587,0.98996912,7942.169509789999
E0V1E_v3,30/04/2025,81,185.22972623,2.332230834429744,1.02571771,8127.399236019999
E0V1E_v3,31/05/2025,94,6039.62356073,74.31188483965275,2.2119762,14167.02279675
E0V1E_v3,30/06/2025,48,-3835.75548362,-27.07524042736732,0.4847963,10331.26731313
E0V1E_v3,31/07/2025,81,2092.36519164,20.25274468487341,1.24411148,12423.63250477
E0V1E_v3,31/08/2025,83,2268.1580104,18.256802183493036,1.24746647,14691.79051517
E0V1E_v3,30/09/2025,9,-617.6794395,-4.2042488889439,0.81323272,14074.11107567
E0V1E_v3,31/10/2025,65,216.4876105,1.538197399011888,1.02384319,14290.59868617
E0V1E_v3,30/11/2025,113,16830.08775614,117.77034766519363,2.73542499,31120.68644231
E0V1E_v3,31/12/2025,83,7229.60015863,23.230850553479524,1.45282643,38350.28660094
E0V1E_v3,31/01/2026,1,10.05167194,0.026210161203211513,0.0,38360.33827288
